sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ABCC4","Approved symbol","ABCC4","ATP binding cassette subfamily C member 4","HGNC:55","13q32.1"
"ABCC5","Approved symbol","ABCC5","ATP binding cassette subfamily C member 5","HGNC:56","3q27.1"
"ABCC6","Approved symbol","ABCC6","ATP binding cassette subfamily C member 6","HGNC:57","16p13.11"
"ABCD1","Approved symbol","ABCD1","ATP binding cassette subfamily D member 1","HGNC:61","Xq28"
"ABCD2","Approved symbol","ABCD2","ATP binding cassette subfamily D member 2","HGNC:66","12q12"
"ABCD3","Approved symbol","ABCD3","ATP binding cassette subfamily D member 3","HGNC:67","1p21.3"
"ABCD4","Approved symbol","ABCD4","ATP binding cassette subfamily D member 4","HGNC:68","14q24.3"
"ABCE1","Approved symbol","ABCE1","ATP binding cassette subfamily E member 1","HGNC:69","4q31.21"
"ABCF1","Approved symbol","ABCF1","ATP binding cassette subfamily F member 1","HGNC:70","6p21.33"
"ABCF2","Approved symbol","ABCF2","ATP binding cassette subfamily F member 2","HGNC:71","7q36.1"
"ABCF3","Approved symbol","ABCF3","ATP binding cassette subfamily F member 3","HGNC:72","3q27.1"
"ABCG1","Approved symbol","ABCG1","ATP binding cassette subfamily G member 1","HGNC:73","21q22.3"
"ABCG2","Approved symbol","ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)","HGNC:74","4q22.1"
"ABHD1","Approved symbol","ABHD1","abhydrolase domain containing 1","HGNC:17553","2p23.3"
"ABHD10","Approved symbol","ABHD10","abhydrolase domain containing 10, depalmitoylase","HGNC:25656","3q13.2"
"ABHD11","Approved symbol","ABHD11","abhydrolase domain containing 11","HGNC:16407","7q11.23"
"ABHD11-AS1","Approved symbol","ABHD11-AS1","ABHD11 antisense RNA 1 (tail to tail)","HGNC:18289","7q11.23"
"ABHD12","Approved symbol","ABHD12","abhydrolase domain containing 12, lysophospholipase","HGNC:15868","20p11.21"
"ABHD13","Approved symbol","ABHD13","abhydrolase domain containing 13","HGNC:20293","13q33.3"
"ABHD14A","Approved symbol","ABHD14A","abhydrolase domain containing 14A","HGNC:24538","3p21.2"
"ABHD14A-ACY1","Approved symbol","ABHD14A-ACY1","ABHD14A-ACY1 readthrough","HGNC:38856","3p21.2"
"ABHD14B","Approved symbol","ABHD14B","abhydrolase domain containing 14B","HGNC:28235","3p21.2"
"ABHD15","Approved symbol","ABHD15","abhydrolase domain containing 15","HGNC:26971","17q11.2"
"ABHD16A","Approved symbol","ABHD16A","abhydrolase domain containing 16A, phospholipase","HGNC:13921","6p21.33"
"ABHD17A","Approved symbol","ABHD17A","abhydrolase domain containing 17A, depalmitoylase","HGNC:28756","19p13.3"
"ABHD17B","Approved symbol","ABHD17B","abhydrolase domain containing 17B, depalmitoylase","HGNC:24278","9q21.13"
"ABHD17C","Approved symbol","ABHD17C","abhydrolase domain containing 17C, depalmitoylase","HGNC:26925","15q25.1"
"ABHD18","Approved symbol","ABHD18","abhydrolase domain containing 18","HGNC:26111","4q28.2"
"ABHD2","Approved symbol","ABHD2","abhydrolase domain containing 2, acylglycerol lipase","HGNC:18717","15q26.1"
"ABHD3","Approved symbol","ABHD3","abhydrolase domain containing 3, phospholipase","HGNC:18718","18q11.2"
"ABHD4","Approved symbol","ABHD4","abhydrolase domain containing 4, N-acyl phospholipase B","HGNC:20154","14q11.2"
"ABHD5","Approved symbol","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase","HGNC:21396","3p21.33"
"ABHD6","Approved symbol","ABHD6","abhydrolase domain containing 6, acylglycerol lipase","HGNC:21398","3p14.3"
"ABHD8","Approved symbol","ABHD8","abhydrolase domain containing 8","HGNC:23759","19p13.11"
"ABI1","Approved symbol","ABI1","abl interactor 1","HGNC:11320","10p12.1"
"ABI2","Approved symbol","ABI2","abl interactor 2","HGNC:24011","2q33.2"
"ABI3","Approved symbol","ABI3","ABI family member 3","HGNC:29859","17q21.32"
"ABI3BP","Approved symbol","ABI3BP","ABI family member 3 binding protein","HGNC:17265","3q12.2"
"ABL1","Approved symbol","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","HGNC:76","9q34.12"
"ABL2","Approved symbol","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase","HGNC:77","1q25.2"
"ABLIM1","Approved symbol","ABLIM1","actin binding LIM protein 1","HGNC:78","10q25.3"
"ABLIM2","Approved symbol","ABLIM2","actin binding LIM protein family member 2","HGNC:19195","4p16.1"
"ABLIM3","Approved symbol","ABLIM3","actin binding LIM protein family member 3","HGNC:29132","5q32"
"ABO","Approved symbol","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase","HGNC:79","9q34.2"
"ABR","Approved symbol","ABR","ABR activator of RhoGEF and GTPase","HGNC:81","17p13.3"
"ABRACL","Approved symbol","ABRACL","ABRA C-terminal like","HGNC:21230","6q24.1"
"ABT1","Approved symbol","ABT1","activator of basal transcription 1","HGNC:17369","6p22.2"
"ABTB1","Approved symbol","ABTB1","ankyrin repeat and BTB domain containing 1","HGNC:18275","3q21.3"
"ABTB2","Approved symbol","ABTB2","ankyrin repeat and BTB domain containing 2","HGNC:23842","11p13"
"AC000032.2","Unmatched","","","",""
"AC000068.10","Unmatched","","","",""
"AC000068.5","Unmatched","","","",""
"AC000068.9","Unmatched","","","",""
"AC000120.7","Unmatched","","","",""
"AC000123.2","Unmatched","","","",""
"AC000123.3","Unmatched","","","",""
"AC000123.4","Unmatched","","","",""
"AC000403.4","Unmatched","","","",""
"AC001226.7","Unmatched","","","",""
"AC002116.7","Unmatched","","","",""
"AC002116.8","Unmatched","","","",""
"AC002117.1","Unmatched","","","",""
"AC002310.12","Unmatched","","","",""
"AC002310.14","Unmatched","","","",""
"AC002310.7","Unmatched","","","",""
"AC002398.11","Unmatched","","","",""
"AC002398.13","Unmatched","","","",""
"AC002398.9","Unmatched","","","",""
"AC002454.1","Unmatched","","","",""
"AC002467.7","Unmatched","","","",""
"AC002480.3","Unmatched","","","",""
"AC002480.5","Unmatched","","","",""
"AC002550.5","Unmatched","","","",""
"AC002550.6","Unmatched","","","",""
"AC003002.6","Unmatched","","","",""
"AC003075.4","Unmatched","","","",""
"AC003104.1","Unmatched","","","",""
"AC003991.3","Unmatched","","","",""
"AC004067.5","Unmatched","","","",""
"AC004069.2","Unmatched","","","",""
"AC004076.5","Unmatched","","","",""
"AC004076.9","Unmatched","","","",""
"AC004156.3","Unmatched","","","",""
"AC004237.1","Unmatched","","","",""
"AC004381.6","Unmatched","","","",""
"AC004471.10","Unmatched","","","",""
"AC004471.9","Unmatched","","","",""
"AC004490.1","Unmatched","","","",""
"AC004540.4","Unmatched","","","",""
"AC004623.3","Unmatched","","","",""
"AC004837.5","Unmatched","","","",""
"AC004893.11","Unmatched","","","",""
"AC004906.3","Unmatched","","","",""
"AC004951.6","Unmatched","","","",""
"AC005037.3","Unmatched","","","",""
"AC005042.4","Unmatched","","","",""
"AC005062.2","Unmatched","","","",""
"AC005076.5","Unmatched","","","",""
"AC005083.1","Unmatched","","","",""
"AC005104.3","Unmatched","","","",""
"AC005154.6","Alias symbol","GARS1-DT","GARS1 divergent transcript","HGNC:48951","7p14.3"
"AC005224.2","Unmatched","","","",""
"AC005253.2","Unmatched","","","",""
"AC005253.4","Unmatched","","","",""
"AC005264.2","Unmatched","","","",""
"AC005306.3","Unmatched","","","",""
"AC005329.7","Unmatched","","","",""
"AC005339.2","Unmatched","","","",""
"AC005481.5","Unmatched","","","",""
"AC005519.4","Unmatched","","","",""
"AC005523.2","Unmatched","","","",""
"AC005532.5","Unmatched","","","",""
"AC005534.8","Unmatched","","","",""
"AC005538.3","Unmatched","","","",""
"AC005540.3","Unmatched","","","",""
"AC005546.2","Unmatched","","","",""
"AC005562.1","Unmatched","","","",""
"AC005606.14","Unmatched","","","",""
"AC005606.15","Unmatched","","","",""
"AC005618.6","Unmatched","","","",""
"AC005624.2","Unmatched","","","",""
"AC005682.5","Alias symbol","SNHG26","small nucleolar RNA host gene 26","HGNC:53131","7p15.3"
"AC005740.6","Unmatched","","","",""
"AC005757.7","Unmatched","","","",""
"AC005775.2","Unmatched","","","",""
"AC005785.2","Unmatched","","","",""
"AC005785.5","Unmatched","","","",""
"AC005786.7","Unmatched","","","",""
"AC005796.2","Unmatched","","","",""
"AC005943.2","Unmatched","","","",""
"AC005944.2","Unmatched","","","",""
"AC005954.3","Unmatched","","","",""
"AC005954.4","Unmatched","","","",""
"AC006077.3","Unmatched","","","",""
"AC006116.20","Unmatched","","","",""
"AC006116.24","Unmatched","","","",""
"AC006128.2","Unmatched","","","",""
"AC006129.1","Unmatched","","","",""
"AC006129.2","Unmatched","","","",""
"AC006129.3","Unmatched","","","",""
"AC006160.5","Unmatched","","","",""
"AC006277.2","Unmatched","","","",""
"AC006277.3","Unmatched","","","",""
"AC006378.2","Unmatched","","","",""
"AC006386.1","Unmatched","","","",""
"AC006449.1","Unmatched","","","",""
"AC006449.2","Unmatched","","","",""
"AC006486.10","Unmatched","","","",""
"AC006538.1","Unmatched","","","",""
"AC006538.4","Unmatched","","","",""
"AC006547.13","Unmatched","","","",""
"AC006548.28","Unmatched","","","",""
"AC006942.4","Unmatched","","","",""
"AC006946.16","Unmatched","","","",""
"AC007036.5","Unmatched","","","",""
"AC007038.7","Unmatched","","","",""
"AC007163.6","Unmatched","","","",""
"AC007191.4","Unmatched","","","",""
"AC007193.9","Unmatched","","","",""
"AC007228.11","Unmatched","","","",""
"AC007228.9","Unmatched","","","",""
"AC007246.3","Unmatched","","","",""
"AC007249.3","Unmatched","","","",""
"AC007278.2","Unmatched","","","",""
"AC007278.3","Unmatched","","","",""
"AC007283.5","Unmatched","","","",""
"AC007292.3","Unmatched","","","",""
"AC007292.6","Unmatched","","","",""
"AC007325.2","Unmatched","","","",""
"AC007325.4","Unmatched","","","",""
"AC007365.3","Unmatched","","","",""
"AC007383.3","Unmatched","","","",""
"AC007386.4","Unmatched","","","",""
"AC007566.10","Unmatched","","","",""
"AC007620.3","Unmatched","","","",""
"AC007773.2","Unmatched","","","",""
"AC007879.2","Unmatched","","","",""
"AC007879.5","Unmatched","","","",""
"AC007879.7","Unmatched","","","",""
"AC007950.2","Unmatched","","","",""
"AC007952.5","Unmatched","","","",""
"AC007952.6","Unmatched","","","",""
"AC008063.2","Unmatched","","","",""
"AC008074.1","Unmatched","","","",""
"AC008079.10","Unmatched","","","",""
"AC008522.1","Unmatched","","","",""
"AC008746.12","Unmatched","","","",""
"AC008937.3","Unmatched","","","",""
"AC008982.2","Unmatched","","","",""
"AC008993.2","Unmatched","","","",""
"AC009005.2","Unmatched","","","",""
"AC009060.3","Unmatched","","","",""
"AC009065.4","Unmatched","","","",""
"AC009095.4","Unmatched","","","",""
"AC009120.11","Unmatched","","","",""
"AC009120.5","Unmatched","","","",""
"AC009120.6","Unmatched","","","",""
"AC009133.12","Unmatched","","","",""
"AC009133.15","Unmatched","","","",""
"AC009133.17","Unmatched","","","",""
"AC009133.21","Unmatched","","","",""
"AC009133.22","Unmatched","","","",""
"AC009299.2","Unmatched","","","",""
"AC009299.3","Unmatched","","","",""
"AC009303.2","Unmatched","","","",""
"AC009403.2","Unmatched","","","",""
"AC009404.2","Unmatched","","","",""
"AC009473.1","Unmatched","","","",""
"AC009495.2","Unmatched","","","",""
"AC009501.4","Unmatched","","","",""
"AC009505.2","Unmatched","","","",""
"AC009506.1","Unmatched","","","",""
"AC009542.2","Unmatched","","","",""
"AC009948.5","Unmatched","","","",""
"AC009950.1","Unmatched","","","",""
"AC009950.2","Unmatched","","","",""
"AC009961.3","Unmatched","","","",""
"AC010168.1","Unmatched","","","",""
"AC010226.4","Unmatched","","","",""
"AC010504.2","Unmatched","","","",""
"AC010524.2","Unmatched","","","",""
"AC010525.4","Unmatched","","","",""
"AC010547.9","Unmatched","","","",""
"AC010642.1","Unmatched","","","",""
"AC010761.13","Unmatched","","","",""
"AC010761.8","Unmatched","","","",""
"AC010761.9","Unmatched","","","",""
"AC010883.5","Unmatched","","","",""
"AC010894.3","Unmatched","","","",""
"AC010976.2","Unmatched","","","",""
"AC011043.1","Unmatched","","","",""
"AC011043.2","Unmatched","","","",""
"AC011330.13","Unmatched","","","",""
"AC011558.5","Unmatched","","","",""
"AC011747.4","Unmatched","","","",""
"AC011841.1","Unmatched","","","",""
"AC011893.3","Unmatched","","","",""
"AC012005.3","Unmatched","","","",""
"AC012074.2","Unmatched","","","",""
"AC012146.7","Unmatched","","","",""
"AC012314.2","Unmatched","","","",""
"AC012314.3","Unmatched","","","",""
"AC012314.5","Unmatched","","","",""
"AC012314.6","Unmatched","","","",""
"AC012314.7","Unmatched","","","",""
"AC012314.8","Unmatched","","","",""
"AC012314.9","Unmatched","","","",""
"AC012358.7","Unmatched","","","",""
"AC012358.8","Unmatched","","","",""
"AC012360.4","Unmatched","","","",""
"AC012360.6","Unmatched","","","",""
"AC012363.4","Unmatched","","","",""
"AC012442.5","Unmatched","","","",""
"AC012442.6","Unmatched","","","",""
"AC013264.2","Unmatched","","","",""
"AC013460.1","Unmatched","","","",""
"AC013461.1","Unmatched","","","",""
"AC015849.16","Unmatched","","","",""
"AC015849.19","Unmatched","","","",""
"AC015849.2","Unmatched","","","",""
"AC015971.2","Unmatched","","","",""
"AC016629.3","Unmatched","","","",""
"AC016683.5","Unmatched","","","",""
"AC016700.5","Unmatched","","","",""
"AC016722.4","Unmatched","","","",""
"AC016735.2","Alias symbol","LINC02590","long intergenic non-protein coding RNA 2590","HGNC:53861","2p21"
"AC016747.3","Unmatched","","","",""
"AC016757.3","Unmatched","","","",""
"AC017002.1","Unmatched","","","",""
"AC017002.2","Unmatched","","","",""
"AC017074.2","Unmatched","","","",""
"AC017104.6","Unmatched","","","",""
"AC017116.11","Unmatched","","","",""
"AC018755.17","Unmatched","","","",""
"AC018766.4","Unmatched","","","",""
"AC018766.6","Unmatched","","","",""
"AC018816.3","Unmatched","","","",""
"AC019206.1","Unmatched","","","",""
"AC020571.3","Unmatched","","","",""
"AC020951.1","Unmatched","","","",""
"AC021106.1","Unmatched","","","",""
"AC021188.4","Unmatched","","","",""
"AC021224.1","Unmatched","","","",""
"AC022007.5","Unmatched","","","",""
"AC022154.7","Unmatched","","","",""
"AC022182.1","Unmatched","","","",""
"AC022182.3","Unmatched","","","",""
"AC022201.5","Unmatched","","","",""
"AC024560.2","Unmatched","","","",""
"AC024592.12","Unmatched","","","",""
"AC024704.2","Unmatched","","","",""
"AC025165.8","Unmatched","","","",""
"AC025171.1","Unmatched","","","",""
"AC025335.1","Unmatched","","","",""
"AC025442.3","Unmatched","","","",""
"AC026150.8","Unmatched","","","",""
"AC026202.3","Unmatched","","","",""
"AC027601.1","Unmatched","","","",""
"AC034220.3","Unmatched","","","",""
"AC046143.3","Unmatched","","","",""
"AC058791.1","Unmatched","","","",""
"AC062017.1","Unmatched","","","",""
"AC062029.1","Unmatched","","","",""
"AC064834.2","Unmatched","","","",""
"AC067945.4","Unmatched","","","",""
"AC068282.3","Unmatched","","","",""
"AC068533.7","Unmatched","","","",""
"AC068580.5","Unmatched","","","",""
"AC068580.6","Unmatched","","","",""
"AC068831.10","Unmatched","","","",""
"AC068831.15","Unmatched","","","",""
"AC068831.6","Unmatched","","","",""
"AC069363.1","Unmatched","","","",""
"AC069513.4","Unmatched","","","",""
"AC072062.1","Unmatched","","","",""
"AC073046.25","Unmatched","","","",""
"AC073130.3","Unmatched","","","",""
"AC073254.1","Unmatched","","","",""
"AC073283.7","Unmatched","","","",""
"AC073333.8","Unmatched","","","",""
"AC073343.13","Unmatched","","","",""
"AC073635.5","Unmatched","","","",""
"AC074117.10","Unmatched","","","",""
"AC074183.3","Unmatched","","","",""
"AC074212.5","Unmatched","","","",""
"AC074286.1","Unmatched","","","",""
"AC074289.1","Unmatched","","","",""
"AC078883.3","Alias symbol","ITGA6-AS1","ITGA6 antisense RNA 1","HGNC:40308","2q31.1"
"AC079466.1","Unmatched","","","",""
"AC079610.2","Unmatched","","","",""
"AC079630.4","Unmatched","","","",""
"AC079807.2","Unmatched","","","",""
"AC079922.3","Unmatched","","","",""
"AC083843.1","Unmatched","","","",""
"AC083843.4","Unmatched","","","",""
"AC083884.8","Unmatched","","","",""
"AC083949.1","Unmatched","","","",""
"AC084219.2","Unmatched","","","",""
"AC087294.2","Unmatched","","","",""
"AC090498.1","Unmatched","","","",""
"AC090587.4","Unmatched","","","",""
"AC090587.5","Unmatched","","","",""
"AC091633.3","Unmatched","","","",""
"AC091729.9","Unmatched","","","",""
"AC091814.3","Unmatched","","","",""
"AC092066.1","Unmatched","","","",""
"AC092159.1","Unmatched","","","",""
"AC092159.2","Alias symbol","TMEM18-DT","TMEM18 divergent transcript","HGNC:54481","2p25.3"
"AC092171.4","Unmatched","","","",""
"AC092301.3","Unmatched","","","",""
"AC092580.3","Unmatched","","","",""
"AC092580.4","Unmatched","","","",""
"AC092687.5","Unmatched","","","",""
"AC092835.2","Unmatched","","","",""
"AC092881.1","Unmatched","","","",""
"AC093110.3","Unmatched","","","",""
"AC093249.1","Unmatched","","","",""
"AC093323.3","Unmatched","","","",""
"AC093375.1","Unmatched","","","",""
"AC093388.3","Unmatched","","","",""
"AC093484.4","Unmatched","","","",""
"AC093495.4","Unmatched","","","",""
"AC093609.1","Alias symbol","LINC02580","long intergenic non-protein coding RNA 2580","HGNC:53751","2p21"
"AC093627.10","Unmatched","","","",""
"AC093627.9","Unmatched","","","",""
"AC093642.3","Unmatched","","","",""
"AC093673.5","Unmatched","","","",""
"AC093690.1","Unmatched","","","",""
"AC093818.1","Unmatched","","","",""
"AC093901.1","Unmatched","","","",""
"AC096772.6","Unmatched","","","",""
"AC097662.2","Unmatched","","","",""
"AC097713.4","Unmatched","","","",""
"AC097724.3","Unmatched","","","",""
"AC098820.3","Unmatched","","","",""
"AC098820.4","Unmatched","","","",""
"AC099552.4","Unmatched","","","",""
"AC099668.5","Unmatched","","","",""
"AC099850.1","Unmatched","","","",""
"AC100830.4","Unmatched","","","",""
"AC100830.5","Unmatched","","","",""
"AC103563.8","Unmatched","","","",""
"AC103563.9","Unmatched","","","",""
"AC104057.1","Unmatched","","","",""
"AC104134.2","Unmatched","","","",""
"AC104532.2","Unmatched","","","",""
"AC104532.4","Unmatched","","","",""
"AC104534.2","Unmatched","","","",""
"AC104653.1","Alias symbol","ACTR3-AS1","ACTR3 antisense RNA 1","HGNC:53965","2q14.1"
"AC104820.2","Unmatched","","","",""
"AC105052.2","Unmatched","","","",""
"AC105339.1","Unmatched","","","",""
"AC105760.2","Unmatched","","","",""
"AC106801.1","Unmatched","","","",""
"AC107081.5","Unmatched","","","",""
"AC108004.3","Unmatched","","","",""
"AC108463.1","Unmatched","","","",""
"AC108488.4","Unmatched","","","",""
"AC108676.1","Unmatched","","","",""
"AC109333.10","Unmatched","","","",""
"AC109486.1","Unmatched","","","",""
"AC109642.1","Unmatched","","","",""
"AC109826.1","Unmatched","","","",""
"AC110615.1","Unmatched","","","",""
"AC112721.2","Unmatched","","","",""
"AC113189.5","Unmatched","","","",""
"AC113404.1","Unmatched","","","",""
"AC114271.2","Unmatched","","","",""
"AC114730.11","Unmatched","","","",""
"AC114730.2","Unmatched","","","",""
"AC114730.3","Unmatched","","","",""
"AC116366.5","Unmatched","","","",""
"AC116366.6","Unmatched","","","",""
"AC127904.2","Unmatched","","","",""
"AC129492.1","Unmatched","","","",""
"AC129492.6","Unmatched","","","",""
"AC130469.1","Unmatched","","","",""
"AC131056.3","Unmatched","","","",""
"AC133528.2","Unmatched","","","",""
"AC133644.2","Unmatched","","","",""
"AC135048.13","Unmatched","","","",""
"AC137932.4","Unmatched","","","",""
"AC137932.5","Unmatched","","","",""
"AC137934.1","Unmatched","","","",""
"AC138035.2","Unmatched","","","",""
"AC138969.4","Unmatched","","","",""
"AC139100.3","Unmatched","","","",""
"AC139100.4","Unmatched","","","",""
"AC142472.6","Unmatched","","","",""
"AC142528.1","Unmatched","","","",""
"AC144449.1","Unmatched","","","",""
"AC144652.1","Unmatched","","","",""
"AC144831.1","Unmatched","","","",""
"AC144831.3","Unmatched","","","",""
"AC145124.2","Unmatched","","","",""
"AC145212.2","Unmatched","","","",""
"AC145212.4","Unmatched","","","",""
"AC147651.4","Unmatched","","","",""
"AC159540.1","Unmatched","","","",""
"AC159540.2","Unmatched","","","",""
"AC234582.1","Unmatched","","","",""
"AC240274.1","Unmatched","","","",""
"AC241377.2","Unmatched","","","",""
"AC241585.2","Unmatched","","","",""
"AC243687.1","Unmatched","","","",""
"AC245100.1","Unmatched","","","",""
"AC253572.1","Unmatched","","","",""
"ACAA1","Approved symbol","ACAA1","acetyl-CoA acyltransferase 1","HGNC:82","3p22.2"
"ACAA2","Approved symbol","ACAA2","acetyl-CoA acyltransferase 2","HGNC:83","18q21.1"
"ACACA","Approved symbol","ACACA","acetyl-CoA carboxylase alpha","HGNC:84","17q12"
"ACACB","Approved symbol","ACACB","acetyl-CoA carboxylase beta","HGNC:85","12q24.11"
"ACAD10","Approved symbol","ACAD10","acyl-CoA dehydrogenase family member 10","HGNC:21597","12q24.12"
"ACAD11","Approved symbol","ACAD11","acyl-CoA dehydrogenase family member 11","HGNC:30211","3q22.1"
"ACAD8","Approved symbol","ACAD8","acyl-CoA dehydrogenase family member 8","HGNC:87","11q25"
"ACAD9","Approved symbol","ACAD9","acyl-CoA dehydrogenase family member 9","HGNC:21497","3q21.3"
"ACADM","Approved symbol","ACADM","acyl-CoA dehydrogenase medium chain","HGNC:89","1p31.1"
"ACADS","Approved symbol","ACADS","acyl-CoA dehydrogenase short chain","HGNC:90","12q24.31"
"ACADSB","Approved symbol","ACADSB","acyl-CoA dehydrogenase short/branched chain","HGNC:91","10q26.13"
"ACADVL","Approved symbol","ACADVL","acyl-CoA dehydrogenase very long chain","HGNC:92","17p13.1"
"ACAN","Approved symbol","ACAN","aggrecan","HGNC:319","15q26.1"
"ACAP1","Approved symbol","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","HGNC:16467","17p13.1"
"ACAP2","Approved symbol","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","HGNC:16469","3q29"
"ACAP2-IT1","Approved symbol","ACAP2-IT1","ACAP2 intronic transcript 1","HGNC:41426","3q29"
"ACAP3","Approved symbol","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","HGNC:16754","1p36.33"
"ACAT1","Approved symbol","ACAT1","acetyl-CoA acetyltransferase 1","HGNC:93","11q22.3"
"ACAT2","Approved symbol","ACAT2","acetyl-CoA acetyltransferase 2","HGNC:94","6q25.3"
"ACAT2","Alias symbol","SOAT2","sterol O-acyltransferase 2","HGNC:11178","12q13.13"
"ACBD3","Approved symbol","ACBD3","acyl-CoA binding domain containing 3","HGNC:15453","1q42.12"
